image_id,field_name,field_label,ocr_value,confidence,ocr_engine,error_type_hint
ENG-0001,qc_id,桥吊编号,QC-11,0.9247,simulated,完全正确
ENG-0001,rtg_id,龙门吊编号,RTG-16,0.9864,simulated,完全正确
ENG-0001,yard_gate,堆场口,YARD-E3,0.9547,simulated,完全正确
ENG-0001,work_area,作业区域,C-01,0.8631,simulated,完全正确
ENG-0001,equipment_status,设备状态,停用,0.9553,simulated,完全正确
ENG-0001,date,日期,2026-06-02,0.9337,simulated,完全正确
ENG-0002,qc_id,桥吊编号,QC-28,0.889,simulated,完全正确
ENG-0002,rtg_id,龙门吊编号,RTG-28,0.8792,simulated,完全正确
ENG-0002,yard_gate,堆场口,YARD-B6,0.8751,simulated,完全正确
ENG-0002,work_area,作业区域,A-30,0.9507,simulated,完全正确
ENG-0002,equipment_status,设备状态,止常,0.5734,simulated,中文识别错误
ENG-0002,date,日期,2026-06-03,0.9324,simulated,完全正确
ENG-0003,qc_id,桥吊编号,QC-31,0.876,simulated,完全正确
ENG-0003,rtg_id,龙门吊编号,RTG-13,0.921,simulated,完全正确
ENG-0003,yard_gate,堆场口,YARD-B9,0.9058,simulated,完全正确
ENG-0003,work_area,作业区域,A-03,0.9689,simulated,完全正确
ENG-0003,equipment_status,设备状态,待检,0.8855,simulated,完全正确
ENG-0003,date,日期,2026-06-04,0.9373,simulated,完全正确
ENG-0004,qc_id,桥吊编号,QC-35,0.9397,simulated,完全正确
ENG-0004,rtg_id,龙门吊编号,RTG-11,0.9189,simulated,完全正确
ENG-0004,yard_gate,堆场口,B4-YARD,0.7218,simulated,顺序错误
ENG-0004,work_area,作业区域,B-12,0.9896,simulated,完全正确
ENG-0004,equipment_status,设备状态,止常,0.6934,simulated,中文识别错误
ENG-0004,date,日期,2026-06-05,0.902,simulated,完全正确
ENG-0005,qc_id,桥吊编号,QC-32,0.8602,simulated,完全正确
ENG-0005,rtg_id,龙门吊编号,RTG-20,0.9813,simulated,完全正确
ENG-0005,yard_gate,堆场口,,0.2544,simulated,字段缺失
ENG-0005,work_area,作业区域,A-28,0.9625,simulated,完全正确
ENG-0005,equipment_status,设备状态,正常,0.9763,simulated,完全正确
ENG-0005,date,日期,2026-06-06,0.986,simulated,完全正确
ENG-0006,qc_id,桥吊编号,QC-13,0.9752,simulated,完全正确
ENG-0006,rtg_id,龙门吊编号,RTG-09,0.9603,simulated,完全正确
ENG-0006,yard_gate,堆场口,YARD-E2,0.8933,simulated,完全正确
ENG-0006,work_area,作业区域,D-21,0.8738,simulated,完全正确
ENG-0006,equipment_status,设备状态,维修中,0.8998,simulated,完全正确
ENG-0006,date,日期,2026-06-07,0.9111,simulated,完全正确
ENG-0007,qc_id,桥吊编号,QC-27,0.9141,simulated,完全正确
ENG-0007,rtg_id,龙门吊编号,RTG-16,0.9152,simulated,完全正确
ENG-0007,yard_gate,堆场口,YARD-F3,0.9659,simulated,完全正确
ENG-0007,work_area,作业区域,A-07,0.9513,simulated,完全正确
ENG-0007,equipment_status,设备状态,止常,0.5963,simulated,中文识别错误
ENG-0007,date,日期,2026-06-08,0.9178,simulated,完全正确
ENG-0008,qc_id,桥吊编号,QC-32,0.9644,simulated,完全正确
ENG-0008,rtg_id,龙门吊编号,RTG-23,0.9094,simulated,完全正确
ENG-0008,yard_gate,堆场口,YARD-A8,0.8926,simulated,完全正确
ENG-0008,work_area,作业区域,C-28,0.986,simulated,完全正确
ENG-0008,equipment_status,设备状态,待检,0.8923,simulated,完全正确
ENG-0008,date,日期,2026-06-09,0.9244,simulated,完全正确
ENG-0009,qc_id,桥吊编号,QC-03,0.9752,simulated,完全正确
ENG-0009,rtg_id,龙门吊编号,RTG-10,0.8749,simulated,完全正确
ENG-0009,yard_gate,堆场口,YARD-G1,0.9802,simulated,完全正确
ENG-0009,work_area,作业区域,A-29,0.887,simulated,完全正确
ENG-0009,equipment_status,设备状态,待检,0.9869,simulated,完全正确
ENG-0009,date,日期,2026-06-10,0.8851,simulated,完全正确
ENG-0010,qc_id,桥吊编号,QC-08,0.9247,simulated,完全正确
ENG-0010,rtg_id,龙门吊编号,RTG-10,0.935,simulated,完全正确
ENG-0010,yard_gate,堆场口,YARD-C4,0.9666,simulated,完全正确
ENG-0010,work_area,作业区域,B-05,0.9278,simulated,完全正确
ENG-0010,equipment_status,设备状态,正常,0.9388,simulated,完全正确
ENG-0010,date,日期,2026-06-11,0.9104,simulated,完全正确
ENG-0011,qc_id,桥吊编号,QC-12,0.9673,simulated,完全正确
ENG-0011,rtg_id,龙门吊编号,RTG-07,0.9062,simulated,完全正确
ENG-0011,yard_gate,堆场口,YARD-B6,0.9383,simulated,完全正确
ENG-0011,work_area,作业区域,A-11,0.9753,simulated,完全正确
ENG-0011,equipment_status,设备状态,正常,0.9535,simulated,完全正确
ENG-0011,date,日期,,0.3287,simulated,漏识别
ENG-0012,qc_id,桥吊编号,QC-16,0.9323,simulated,完全正确
ENG-0012,rtg_id,龙门吊编号,RTG-04,0.8903,simulated,完全正确
ENG-0012,yard_gate,堆场口,YARD-C4,0.972,simulated,完全正确
ENG-0012,work_area,作业区域,D-10,0.8994,simulated,完全正确
ENG-0012,equipment_status,设备状态,维修中,0.9111,simulated,完全正确
ENG-0012,date,日期,2026-06-13,0.9341,simulated,完全正确
ENG-0013,qc_id,桥吊编号,QC-01,0.8839,simulated,完全正确
ENG-0013,rtg_id,龙门吊编号,RTG-08,0.8917,simulated,完全正确
ENG-0013,yard_gate,堆场口,YARD-H6,0.9162,simulated,完全正确
ENG-0013,work_area,作业区域,C-07,0.8766,simulated,完全正确
ENG-0013,equipment_status,设备状态,正常,0.9214,simulated,完全正确
ENG-0013,date,日期,2026-06-14,0.9529,simulated,完全正确
ENG-0014,qc_id,桥吊编号,QC-31,0.9884,simulated,完全正确
ENG-0014,rtg_id,龙门吊编号,RTG-10,0.9023,simulated,完全正确
ENG-0014,yard_gate,堆场口,YARD-B7,0.8614,simulated,完全正确
ENG-0014,work_area,作业区域,B-12,0.8889,simulated,完全正确
ENG-0014,equipment_status,设备状态,待检,0.9588,simulated,完全正确
ENG-0014,date,日期,2026-06-15,0.9865,simulated,完全正确
ENG-0015,qc_id,桥吊编号,QC-20,0.8844,simulated,完全正确
ENG-0015,rtg_id,龙门吊编号,RTG-22,0.8616,simulated,完全正确
ENG-0015,yard_gate,堆场口,C1-YARD,0.7328,simulated,顺序错误
ENG-0015,work_area,作业区域,D-28,0.9018,simulated,完全正确
ENG-0015,equipment_status,设备状态,待检,0.9153,simulated,完全正确
ENG-0015,date,日期,2026-06-16,0.9441,simulated,完全正确
ENG-0016,qc_id,桥吊编号,QC-24,0.9796,simulated,完全正确
ENG-0016,rtg_id,龙门吊编号,18-RTG,0.5209,simulated,顺序错误
ENG-0016,yard_gate,堆场口,YARD-E6,0.8603,simulated,完全正确
ENG-0016,work_area,作业区域,D-22,0.9363,simulated,完全正确
ENG-0016,equipment_status,设备状态,停用,0.971,simulated,完全正确
ENG-0016,date,日期,2026-06-17,0.8824,simulated,完全正确
ENG-0017,qc_id,桥吊编号,QC-04,0.9692,simulated,完全正确
ENG-0017,rtg_id,龙门吊编号,RTG-12,0.9113,simulated,完全正确
ENG-0017,yard_gate,堆场口,YARD-H8,0.9699,simulated,完全正确
ENG-0017,work_area,作业区域,B-15,0.962,simulated,完全正确
ENG-0017,equipment_status,设备状态,停用,0.8736,simulated,完全正确
ENG-0017,date,日期,2026-06-18,0.872,simulated,完全正确
ENG-0018,qc_id,桥吊编号,QC-3I,0.4831,simulated,数字识别错误
ENG-0018,rtg_id,龙门吊编号,RTG-03,0.8999,simulated,完全正确
ENG-0018,yard_gate,堆场口,,0.1159,simulated,字段缺失
ENG-0018,work_area,作业区域,C-02,0.9469,simulated,完全正确
ENG-0018,equipment_status,设备状态,待检,0.9644,simulated,完全正确
