image_id,image_path,device_type,field_name,field_label,manual_value,ocr_value,quality_tags,confidence,is_correct,error_type,error_reason,review_priority,review_score,ocr_engine
ENG-0001,data/images/ENG-0001.jpg,堆场口,qc_id,桥吊编号,QC-11,QC-11,occlusion,0.9247,True,完全正确,识别正确,低,8,simulated
ENG-0001,data/images/ENG-0001.jpg,堆场口,rtg_id,龙门吊编号,RTG-16,RTG-16,occlusion,0.9864,True,完全正确,识别正确,低,8,simulated
ENG-0001,data/images/ENG-0001.jpg,堆场口,yard_gate,堆场口,YARD-E3,YARD-E3,occlusion,0.9547,True,完全正确,识别正确,低,8,simulated
ENG-0001,data/images/ENG-0001.jpg,堆场口,work_area,作业区域,C-01,C-01,occlusion,0.8631,True,完全正确,识别正确,低,8,simulated
ENG-0001,data/images/ENG-0001.jpg,堆场口,equipment_status,设备状态,停用,停用,occlusion,0.9553,True,完全正确,识别正确,低,8,simulated
ENG-0001,data/images/ENG-0001.jpg,堆场口,date,日期,2026-06-02,2026-06-02,occlusion,0.9337,True,完全正确,识别正确,低,8,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,qc_id,桥吊编号,QC-28,QC-28,complex_bg,0.889,True,完全正确,识别正确,低,0,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,rtg_id,龙门吊编号,RTG-28,RTG-28,complex_bg,0.8792,True,完全正确,识别正确,低,0,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,yard_gate,堆场口,YARD-B6,YARD-B6,complex_bg,0.8751,True,完全正确,识别正确,低,0,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,work_area,作业区域,A-30,A-30,complex_bg,0.9507,True,完全正确,识别正确,低,0,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,equipment_status,设备状态,正常,止常,complex_bg,0.5734,False,中文识别错误,复杂背景干扰文本检测；中文字段语义相近或笔画被干扰,中,63,simulated
ENG-0002,data/images/ENG-0002.jpg,龙门吊,date,日期,2026-06-03,2026-06-03,complex_bg,0.9324,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,qc_id,桥吊编号,QC-31,QC-31,compression,0.876,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,rtg_id,龙门吊编号,RTG-13,RTG-13,compression,0.921,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,yard_gate,堆场口,YARD-B9,YARD-B9,compression,0.9058,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,work_area,作业区域,A-03,A-03,compression,0.9689,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,equipment_status,设备状态,待检,待检,compression,0.8855,True,完全正确,识别正确,低,0,simulated
ENG-0003,data/images/ENG-0003.jpg,桥吊,date,日期,2026-06-04,2026-06-04,compression,0.9373,True,完全正确,识别正确,低,0,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,qc_id,桥吊编号,QC-35,QC-35,blur|noise|tilt,0.9397,True,完全正确,识别正确,低,15,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,rtg_id,龙门吊编号,RTG-11,RTG-11,blur|noise|tilt,0.9189,True,完全正确,识别正确,低,15,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,yard_gate,堆场口,YARD-B4,B4-YARD,blur|noise|tilt,0.7218,False,顺序错误,图像模糊导致字符边缘不清晰；噪声干扰了字符轮廓；拍摄角度倾斜导致文本基线偏移；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,高,82,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,work_area,作业区域,B-12,B-12,blur|noise|tilt,0.9896,True,完全正确,识别正确,低,15,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,equipment_status,设备状态,正常,止常,blur|noise|tilt,0.6934,False,中文识别错误,图像模糊导致字符边缘不清晰；噪声干扰了字符轮廓；拍摄角度倾斜导致文本基线偏移；中文字段语义相近或笔画被干扰,中,60,simulated
ENG-0004,data/images/ENG-0004.jpg,堆场口,date,日期,2026-06-05,2026-06-05,blur|noise|tilt,0.902,True,完全正确,识别正确,低,15,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,qc_id,桥吊编号,QC-32,QC-32,complex_bg,0.8602,True,完全正确,识别正确,低,0,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,rtg_id,龙门吊编号,RTG-20,RTG-20,complex_bg,0.9813,True,完全正确,识别正确,低,0,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,yard_gate,堆场口,YARD-D5,,complex_bg,0.2544,False,字段缺失,复杂背景干扰文本检测；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,85,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,work_area,作业区域,A-28,A-28,complex_bg,0.9625,True,完全正确,识别正确,低,0,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,equipment_status,设备状态,正常,正常,complex_bg,0.9763,True,完全正确,识别正确,低,0,simulated
ENG-0005,data/images/ENG-0005.jpg,桥吊,date,日期,2026-06-06,2026-06-06,complex_bg,0.986,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,qc_id,桥吊编号,QC-13,QC-13,compression,0.9752,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-09,RTG-09,compression,0.9603,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,yard_gate,堆场口,YARD-E2,YARD-E2,compression,0.8933,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,work_area,作业区域,D-21,D-21,compression,0.8738,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,equipment_status,设备状态,维修中,维修中,compression,0.8998,True,完全正确,识别正确,低,0,simulated
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,date,日期,2026-06-07,2026-06-07,compression,0.9111,True,完全正确,识别正确,低,0,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,qc_id,桥吊编号,QC-27,QC-27,occlusion,0.9141,True,完全正确,识别正确,低,8,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,rtg_id,龙门吊编号,RTG-16,RTG-16,occlusion,0.9152,True,完全正确,识别正确,低,8,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,yard_gate,堆场口,YARD-F3,YARD-F3,occlusion,0.9659,True,完全正确,识别正确,低,8,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,work_area,作业区域,A-07,A-07,occlusion,0.9513,True,完全正确,识别正确,低,8,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,equipment_status,设备状态,正常,止常,occlusion,0.5963,False,中文识别错误,遮挡覆盖了部分关键字段；中文字段语义相近或笔画被干扰,高,71,simulated
ENG-0007,data/images/ENG-0007.jpg,堆场口,date,日期,2026-06-08,2026-06-08,occlusion,0.9178,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,qc_id,桥吊编号,QC-32,QC-32,low_light|tilt,0.9644,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,rtg_id,龙门吊编号,RTG-23,RTG-23,low_light|tilt,0.9094,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,yard_gate,堆场口,YARD-A8,YARD-A8,low_light|tilt,0.8926,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,work_area,作业区域,C-28,C-28,low_light|tilt,0.986,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,equipment_status,设备状态,待检,待检,low_light|tilt,0.8923,True,完全正确,识别正确,低,8,simulated
ENG-0008,data/images/ENG-0008.jpg,龙门吊,date,日期,2026-06-09,2026-06-09,low_light|tilt,0.9244,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,qc_id,桥吊编号,QC-03,QC-03,low_light|complex_bg,0.9752,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-10,RTG-10,low_light|complex_bg,0.8749,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,yard_gate,堆场口,YARD-G1,YARD-G1,low_light|complex_bg,0.9802,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,work_area,作业区域,A-29,A-29,low_light|complex_bg,0.887,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,equipment_status,设备状态,待检,待检,low_light|complex_bg,0.9869,True,完全正确,识别正确,低,8,simulated
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,date,日期,2026-06-10,2026-06-10,low_light|complex_bg,0.8851,True,完全正确,识别正确,低,8,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,qc_id,桥吊编号,QC-08,QC-08,compression,0.9247,True,完全正确,识别正确,低,0,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-10,RTG-10,compression,0.935,True,完全正确,识别正确,低,0,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,yard_gate,堆场口,YARD-C4,YARD-C4,compression,0.9666,True,完全正确,识别正确,低,0,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,work_area,作业区域,B-05,B-05,compression,0.9278,True,完全正确,识别正确,低,0,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,equipment_status,设备状态,正常,正常,compression,0.9388,True,完全正确,识别正确,低,0,simulated
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,date,日期,2026-06-11,2026-06-11,compression,0.9104,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,qc_id,桥吊编号,QC-12,QC-12,blur,0.9673,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-07,RTG-07,blur,0.9062,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,yard_gate,堆场口,YARD-B6,YARD-B6,blur,0.9383,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,work_area,作业区域,A-11,A-11,blur,0.9753,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,equipment_status,设备状态,正常,正常,blur,0.9535,True,完全正确,识别正确,低,0,simulated
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,date,日期,2026-06-12,,blur,0.3287,False,漏识别,图像模糊导致字符边缘不清晰；关键编号字段未通过格式规则校验；文本检测阶段可能未定位到该字段,高,85,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,qc_id,桥吊编号,QC-16,QC-16,blur|complex_bg|small_font,0.9323,True,完全正确,识别正确,低,0,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,rtg_id,龙门吊编号,RTG-04,RTG-04,blur|complex_bg|small_font,0.8903,True,完全正确,识别正确,低,0,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,yard_gate,堆场口,YARD-C4,YARD-C4,blur|complex_bg|small_font,0.972,True,完全正确,识别正确,低,0,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,work_area,作业区域,D-10,D-10,blur|complex_bg|small_font,0.8994,True,完全正确,识别正确,低,0,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,equipment_status,设备状态,维修中,维修中,blur|complex_bg|small_font,0.9111,True,完全正确,识别正确,低,0,simulated
ENG-0012,data/images/ENG-0012.jpg,桥吊,date,日期,2026-06-13,2026-06-13,blur|complex_bg|small_font,0.9341,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,qc_id,桥吊编号,QC-01,QC-01,,0.8839,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,rtg_id,龙门吊编号,RTG-08,RTG-08,,0.8917,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,yard_gate,堆场口,YARD-H6,YARD-H6,,0.9162,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,work_area,作业区域,C-07,C-07,,0.8766,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,equipment_status,设备状态,正常,正常,,0.9214,True,完全正确,识别正确,低,0,simulated
ENG-0013,data/images/ENG-0013.jpg,桥吊,date,日期,2026-06-14,2026-06-14,,0.9529,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,qc_id,桥吊编号,QC-31,QC-31,compression,0.9884,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,rtg_id,龙门吊编号,RTG-10,RTG-10,compression,0.9023,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,yard_gate,堆场口,YARD-B7,YARD-B7,compression,0.8614,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,work_area,作业区域,B-12,B-12,compression,0.8889,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,equipment_status,设备状态,待检,待检,compression,0.9588,True,完全正确,识别正确,低,0,simulated
ENG-0014,data/images/ENG-0014.jpg,堆场口,date,日期,2026-06-15,2026-06-15,compression,0.9865,True,完全正确,识别正确,低,0,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,qc_id,桥吊编号,QC-20,QC-20,complex_bg,0.8844,True,完全正确,识别正确,低,0,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,rtg_id,龙门吊编号,RTG-22,RTG-22,complex_bg,0.8616,True,完全正确,识别正确,低,0,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,yard_gate,堆场口,YARD-C1,C1-YARD,complex_bg,0.7328,False,顺序错误,复杂背景干扰文本检测；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,中,67,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,work_area,作业区域,D-28,D-28,complex_bg,0.9018,True,完全正确,识别正确,低,0,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,equipment_status,设备状态,待检,待检,complex_bg,0.9153,True,完全正确,识别正确,低,0,simulated
ENG-0015,data/images/ENG-0015.jpg,桥吊,date,日期,2026-06-16,2026-06-16,complex_bg,0.9441,True,完全正确,识别正确,低,0,simulated
ENG-0016,data/images/ENG-0016.jpg,龙门吊,qc_id,桥吊编号,QC-24,QC-24,occlusion,0.9796,True,完全正确,识别正确,低,8,simulated
ENG-0016,data/images/ENG-0016.jpg,龙门吊,rtg_id,龙门吊编号,RTG-18,18-RTG,occlusion,0.5209,False,顺序错误,遮挡覆盖了部分关键字段；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,高,93,simulated
ENG-0016,data/images/ENG-0016.jpg,龙门吊,yard_gate,堆场口,YARD-E6,YARD-E6,occlusion,0.8603,True,完全正确,识别正确,低,8,simulated
ENG-0016,data/images/ENG-0016.jpg,龙门吊,work_area,作业区域,D-22,D-22,occlusion,0.9363,True,完全正确,识别正确,低,8,simulated
ENG-0016,data/images/ENG-0016.jpg,龙门吊,equipment_status,设备状态,停用,停用,occlusion,0.971,True,完全正确,识别正确,低,8,simulated
